txn_id,value_date,narration,credit,debit
bnk_00001,2026-07-22,NEFT CR-COLLECTION A/C-CONSOLIDATED SETTLEMENT,107599.77,
bnk_00002,2026-07-23,IMPS/OVYT58DYJ3K7Z6HU/RZPY/PAYOUT,91122.10,
bnk_00003,2026-07-24,UPI-RAZORPAYSOFTWARE-3JUZX20XUOBFPEV6-COLLECT,156200.03,
bnk_00004,2026-07-25,MB:TRF FROM RAZORPAY SOFTWARE PVT LT 2FRRRIV8UY69OOIP,119639.36,
bnk_00005,2026-07-26,MB:TRF FROM RAZORPAY SOFTWARE PVT LT NAWO6SJCOXXF04E0,18807.18,
bnk_00006,2026-07-27,UPI-RAZORPAYSOFTWARE-8XIEWWFBDJQR5JL1-COLLECT,12964.05,
bnk_00007,2026-07-28,NEFT CR-COLLECTION A/C-CONSOLIDATED SETTLEMENT,35549.36,
bnk_00008,2026-07-29,NEFT CR-COLLECTION A/C-CONSOLIDATED SETTLEMENT,160053.53,
bnk_00009,2026-07-30,IMPS/QNBW3N7M8AODKZ4I/RZPY/PAYOUT,50350.45,
bnk_00010,2026-07-31,MB:TRF FROM RAZORPAY SOFTWARE PVT LT NSFV8IPG7YDA25MN,169895.75,
bnk_00011,2026-08-01,IMPS/QE9REOEY1U3WG9VX/RZPY/PAYOUT,134856.07,
bnk_00012,2026-08-02,NEFT CR-COLLECTION A/C-CONSOLIDATED SETTLEMENT,136503.24,
bnk_00013,2026-08-03,NEFT CR-COLLECTION A/C-CONSOLIDATED SETTLEMENT,30107.98,
bnk_00014,2026-08-04,IMPS/ID3SY34KSJHZ78V2/RZPY/PAYOUT,35216.51,
bnk_00015,2026-08-05,NEFT-25DBA9EY11OBE3GG-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,135140.07,
bnk_00016,2026-08-06,NEFT-R2ISAT2JNEEF9HQT-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,64618.61,
bnk_00017,2026-08-07,MB:TRF FROM RAZORPAY SOFTWARE PVT LT 06HBS5DJJEZHUU3B,120000.38,
bnk_00018,2026-08-08,NEFT-XUI0AV8CKMNO0UHX-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,117653.18,
bnk_00019,2026-08-09,UPI-RAZORPAYSOFTWARE-3QWSXYWD26ZGY296-COLLECT,69260.85,
bnk_00046,2026-08-09,NEFT-INWARD-UNIDENTIFIED REMITTER,3520.03,
bnk_00020,2026-08-10,IMPS/LDSHNDNMXDHUS14E/RZPY/PAYOUT,157002.74,
bnk_00021,2026-08-11,UPI-RAZORPAYSOFTWARE-WAS85SE1VV02YUKP-COLLECT,24788.84,
bnk_00022,2026-08-12,UPI-RAZORPAYSOFTWARE-P3XBBQM95SUIGM4I-COLLECT,207149.17,
bnk_00023,2026-08-13,UPI-RAZORPAYSOFTWARE-LN5XOQS497YMFJS6-COLLECT,82730.80,
bnk_00024,2026-08-14,MB:TRF FROM RAZORPAY SOFTWARE PVT LT R5W4K95B6XOUOCID,106500.10,
bnk_00025,2026-08-15,UPI-RAZORPAYSOFTWARE-AIGXR93VJ9P47XYR-COLLECT,24987.68,
bnk_00026,2026-08-16,NEFT-ZHGX20POQLKG2IFM-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,32741.49,
bnk_00027,2026-08-17,NEFT-VM4SPTNYBRMW0ET6-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,148195.50,
bnk_00028,2026-08-18,NEFT-9OEQSMY180SGCSOI-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,111871.47,
bnk_00029,2026-08-19,MB:TRF FROM RAZORPAY SOFTWARE PVT LT 8KQ3MKMVL4WCRD8I,163923.31,
bnk_00030,2026-08-20,NEFT CR-COLLECTION A/C-CONSOLIDATED SETTLEMENT,112287.63,
bnk_00031,2026-08-21,UPI-RAZORPAYSOFTWARE-FVHZS2YZ3FBWKDHC-COLLECT,57183.08,
bnk_00032,2026-08-22,NEFT CR-COLLECTION A/C-CONSOLIDATED SETTLEMENT,132550.49,
