settlement_id,utr,settled_on,order_id,entity_type,gross,fees,tax,net
setl_8bqPOuKTJQIruB,XFUVJWT3AGZ8J4S3,2026-07-22,order_IeyFjdsxlLsmlw,payment,53737.68,1074.75,193.46,52469.47
setl_8bqPOuKTJQIruB,XFUVJWT3AGZ8J4S3,2026-07-22,order_IrUq3DfQJo4Xoc,payment,375.90,7.52,1.35,367.03
setl_8bqPOuKTJQIruB,XFUVJWT3AGZ8J4S3,2026-07-22,order_SclvccS30Y0pnA,payment,27355.30,547.11,98.48,26709.71
setl_8bqPOuKTJQIruB,XFUVJWT3AGZ8J4S3,2026-07-22,order_TMJMsybsDqSkFR,payment,2640.43,52.81,9.51,2578.11
setl_8bqPOuKTJQIruB,XFUVJWT3AGZ8J4S3,2026-07-22,order_ceWsxcgPThhBN6,payment,20017.29,400.35,72.06,19544.88
setl_8bqPOuKTJQIruB,XFUVJWT3AGZ8J4S3,2026-07-22,order_pstJz9G6hjwzej,payment,4852.69,97.05,17.47,4738.17
setl_8bqPOuKTJQIruB,XFUVJWT3AGZ8J4S3,2026-07-22,order_wABlIeoJmcziOp,payment,1453.41,29.07,5.23,1419.11
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_13xQTaNQkmgjVZ,payment,1158.23,23.16,4.17,1130.90
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_6DNa7r9hzDOTCG,payment,3066.41,61.33,11.04,2994.04
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_7M91BlE5BmHl6x,payment,602.90,12.06,2.17,588.67
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_CBJUrgVaUO9xkN,payment,3215.60,64.31,11.58,3139.71
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_PCycAUUX7zO1E0,payment,4686.64,93.73,16.87,4576.04
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_WpDrkB6cca9W0R,payment,3817.48,76.35,13.74,3727.39
setl_47n48tybqUxR8s,OVYT58DYJ3K7Z6HU,2026-07-23,order_aGpeTlT8UHho4U,payment,602.80,12.06,2.17,588.57
