order_id,created_on,customer_id,gross,status
order_IeyFjdsxlLsmlw,2026-07-20,cust_0025,53737.68,captured
order_IrUq3DfQJo4Xoc,2026-07-20,cust_0039,375.90,captured
order_SclvccS30Y0pnA,2026-07-20,cust_0013,27355.30,captured
order_TMJMsybsDqSkFR,2026-07-20,cust_0010,2640.43,captured
order_ceWsxcgPThhBN6,2026-07-20,cust_0028,20017.29,captured
order_pstJz9G6hjwzej,2026-07-20,cust_0020,4852.69,captured
order_wABlIeoJmcziOp,2026-07-20,cust_0008,1453.41,captured
order_13xQTaNQkmgjVZ,2026-07-21,cust_0051,1158.23,captured
order_6DNa7r9hzDOTCG,2026-07-21,cust_0016,3066.41,captured
order_7M91BlE5BmHl6x,2026-07-21,cust_0007,602.90,captured
order_CBJUrgVaUO9xkN,2026-07-21,cust_0052,3215.60,captured
order_PCycAUUX7zO1E0,2026-07-21,cust_0067,4686.64,captured
order_WpDrkB6cca9W0R,2026-07-21,cust_0003,3817.48,captured
order_aGpeTlT8UHho4U,2026-07-21,cust_0061,602.80,captured
order_eFnm33zM9rBLYT,2026-07-21,cust_0039,55812.06,captured
order_jdMhTZqtSpd3e0,2026-07-21,cust_0050,2413.54,captured
order_mc9drujwKPNRsM,2026-07-21,cust_0023,13678.01,captured
order_oTYfoNKG3I6f6V,2026-07-21,cust_0083,3611.16,refunded
order_tiVcsXs6ARNXwS,2026-07-21,cust_0010,4270.89,captured
order_5Re7rnM5BZZ4OF,2026-07-22,cust_0054,46028.47,captured
order_5XeMCl6Xhl6OhH,2026-07-22,cust_0011,2790.56,captured
order_5nhpNAtBjDbO6H,2026-07-22,cust_0037,4838.21,captured
order_6dcA7nB2Byrurr,2026-07-22,cust_0029,321.82,captured
order_BAb8UzolmoXBjT,2026-07-22,cust_0065,1469.40,captured
order_EW1xhYDMuBgJ3N,2026-07-22,cust_0042,43081.68,captured
order_WPECQVq6oLtY53,2026-07-22,cust_0032,1337.37,captured
order_eGXv8La10GppnE,2026-07-22,cust_0071,951.43,captured
order_lQft9ndsUnyfrX,2026-07-22,cust_0041,56716.88,captured
order_qiDwL7G4GyTgVu,2026-07-22,cust_0017,1612.21,captured
order_uYvkVxyxydobCR,2026-07-22,cust_0035,827.43,captured
order_6sH8jcKSmWUKUC,2026-07-23,cust_0042,4112.90,captured
order_APZDUtnJG5EJUg,2026-07-23,cust_0069,44091.36,captured
order_Fi6X3zrPx7TQgj,2026-07-23,cust_0084,3313.46,captured
order_FzOSK9ocQlJeT5,2026-07-23,cust_0060,1506.28,captured
order_IjHCMrcon4n721,2026-07-23,cust_0065,4205.33,captured
order_L2GKGrNXPkR6S7,2026-07-23,cust_0045,3788.01,captured
order_XuUwt6GmAPm9cV,2026-07-23,cust_0024,3811.69,captured
order_aerveQ9etPj12O,2026-07-23,cust_0039,52545.30,captured
order_cVVNawaaF20bNo,2026-07-23,cust_0070,2213.69,captured
order_nr7X5A4OikMtUk,2026-07-23,cust_0089,1453.84,captured
order_wsfEQK8iWQ2mWc,2026-07-23,cust_0076,1489.25,captured
order_7F3v2hqo424FLm,2026-07-24,cust_0085,4802.18,captured
order_9UsXWwF7svPnki,2026-07-24,cust_0075,54769.37,captured
order_DSIQnout1gqDAi,2026-07-24,cust_0056,3071.77,captured
order_PtA0mBe0eZiomk,2026-07-24,cust_0060,778.29,captured
